"rowid","kepid","koi_disposition","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag","predict","p0","p1"
38,11138155,"CANDIDATE",4.9593192440000005,172.2585292,0.8310000000000001,2.22739,9802.0,12.21,1103,349.40000000000003,696.5,1,"q1_q17_dr25_tce",5712,4.359,1.082,292.16705,48.727588999999995,15.263,"1",0.5980285620653112,0.4019714379346888
59,11818800,"CANDIDATE",40.4195037,173.56468999999998,0.911,3.362,6256.0,7.51,467,11.290000000000001,36.9,1,"q1_q17_dr25_tce",5446,4.507,0.781,294.31686,50.080231,15.487,"1",0.46524184736916596,0.534758152630834
63,11918099,"CANDIDATE",7.2406612,137.75545,1.198,0.558,556.4,19.45,734,68.63,13.700000000000001,2,"q1_q17_dr25_tce",5005,4.595,0.765,293.83331000000004,50.230349999999994,15.334,"1",0.3262756026181678,0.6737243973818322
64,9579641,"CANDIDATE",3.43591631,132.6624,0.624,3.1330000000000005,23.200000000000003,0.55,1272,617.61,8.700000000000001,3,"q1_q17_dr25_tce",5779,4.339,1.087,287.88733,46.276241,12.791,"1",0.18355352387950363,0.8164464761204964
73,3246984,"CANDIDATE",1.6266302250000002,169.820171,1.26,2.1145,1620.6000000000001,32.43,1547,1355.88,103.60000000000001,1,"q1_q17_dr25_tce",5735,4.41,0.973,294.36819,38.31028,15.279,"0",0.9527889183311891,0.04721108166881092
85,3115833,"CANDIDATE",10.181584004000001,177.141891,0.92,3.5089,5741.1,7.73,812,102.91,183.60000000000002,1,"q1_q17_dr25_tce",5988,4.541,0.836,291.28195000000005,38.241669,15.657,"0",0.7285947447350303,0.2714052552649698
93,3453214,"CANDIDATE",19.620346923,181.88181899999998,0.458,2.0038,21725.0,13.6,643,40.39,340.5,1,"q1_q17_dr25_tce",5710,4.492,0.905,293.81619,38.563568,15.562000000000001,"0",0.845788651522076,0.154211348477924
95,3641726,"CANDIDATE",9.02930689,177.20422,0.024,3.1449000000000003,1019.8000000000001,2.57,757,77.75,53.900000000000006,1,"q1_q17_dr25_tce",5349,4.526,0.8200000000000001,290.33362,38.728229999999996,15.387,"1",0.19221416572688388,0.8077858342731161
104,3940418,"CANDIDATE",4.783002698000001,170.508434,0.003,2.3350000000000004,1008.7,2.5,886,145.48,70.60000000000001,1,"q1_q17_dr25_tce",5170,4.574,0.807,287.09399,39.060719,15.119,"1",0.19030592713077177,0.8096940728692282
113,4544670,"CANDIDATE",34.84398644,172.633252,0.934,2.9315,4523.6,7.61,511,16.1,76.80000000000001,1,"q1_q17_dr25_tce",5509,4.482,0.871,285.92001000000005,39.624828,15.684000000000001,"1",0.42388108547408265,0.5761189145259173
123,5115978,"CANDIDATE",1.028436523,170.228582,1.5734000000000001,1.8606000000000003,8098.0,72.77,1947,3400.48,89.60000000000001,,,6228,4.428,0.99,296.00699000000003,40.295429,15.202,"0",0.9960409379341839,0.003959062065816084
154,5792202,"CANDIDATE",6.54626149,133.85963999999998,0.644,2.7500000000000004,655.9000000000001,2.19,810,101.78,24.8,3,"q1_q17_dr25_tce",5251,4.581,0.8170000000000001,292.23676,41.085879999999996,15.855,"1",0.21885026975438437,0.7811497302456156
166,6867155,"CANDIDATE",235.9986399,208.399822,0.778,8.2284,20715.0,10.59,188,0.29,271.8,1,"q1_q17_dr25_tce",4245,4.627,0.657,293.00797,42.307201,15.172,"0",0.9871825389831008,0.012817461016899139
172,6526710,"CANDIDATE",39.74893077,172.85464399999998,0.881,7.3051,15179.0,14.21,552,21.87,561.1,1,"q1_q17_dr25_tce",6122,4.487,0.964,293.17929000000004,41.969238,15.344000000000001,"0",0.8387735554817881,0.16122644451821194
