"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
38,11138155,"K00760.01",4.9593192440000005,172.2585292,0.8310000000000001,2.22739,9802.0,12.21,1103,349.40000000000003,696.5,5712,4.359,1.082,"CONFIRMED",0.5056359181032609,0.4943640818967391
59,11818800,"K00777.01",40.4195037,173.56468999999998,0.911,3.362,6256.0,7.51,467,11.290000000000001,36.9,5446,4.507,0.781,"FALSE POSITIVE",0.37245907922183463,0.6275409207781654
63,11918099,"K00780.02",7.2406612,137.75545,1.198,0.558,556.4,19.45,734,68.63,13.700000000000001,5005,4.595,0.765,"FALSE POSITIVE",0.041174506860619964,0.95882549313938
64,9579641,"K00115.03",3.43591631,132.6624,0.624,3.1330000000000005,23.200000000000003,0.55,1272,617.61,8.700000000000001,5779,4.339,1.087,"FALSE POSITIVE",0.05695696717543197,0.943043032824568
73,3246984,"K00799.01",1.6266302250000002,169.820171,1.26,2.1145,1620.6000000000001,32.43,1547,1355.88,103.60000000000001,5735,4.41,0.973,"FALSE POSITIVE",0.014647678535211317,0.9853523214647887
85,3115833,"K00797.01",10.181584004000001,177.141891,0.92,3.5089,5741.1,7.73,812,102.91,183.60000000000002,5988,4.541,0.836,"FALSE POSITIVE",0.30988039322298044,0.6901196067770196
93,3453214,"K00802.01",19.620346923,181.88181899999998,0.458,2.0038,21725.0,13.6,643,40.39,340.5,5710,4.492,0.905,"CONFIRMED",0.5654596565085279,0.43454034349147214
95,3641726,"K00804.01",9.02930689,177.20422,0.024,3.1449000000000003,1019.8000000000001,2.57,757,77.75,53.900000000000006,5349,4.526,0.8200000000000001,"CONFIRMED",0.9242741182928644,0.07572588170713555
104,3940418,"K00810.01",4.783002698000001,170.508434,0.003,2.3350000000000004,1008.7,2.5,886,145.48,70.60000000000001,5170,4.574,0.807,"CONFIRMED",0.9087593904313206,0.09124060956867941
113,4544670,"K00815.01",34.84398644,172.633252,0.934,2.9315,4523.6,7.61,511,16.1,76.80000000000001,5509,4.482,0.871,"FALSE POSITIVE",0.31599875420717627,0.6840012457928237
123,5115978,"K00823.01",1.028436523,170.228582,1.5734000000000001,1.8606000000000003,8098.0,72.77,1947,3400.48,89.60000000000001,6228,4.428,0.99,"FALSE POSITIVE",0.014427759608077628,0.9855722403919224
154,5792202,"K00841.03",6.54626149,133.85963999999998,0.644,2.7500000000000004,655.9000000000001,2.19,810,101.78,24.8,5251,4.581,0.8170000000000001,"CONFIRMED",0.8595958437911555,0.1404041562088445
166,6867155,"K00868.01",235.9986399,208.399822,0.778,8.2284,20715.0,10.59,188,0.29,271.8,4245,4.627,0.657,"FALSE POSITIVE",0.30035361287316276,0.6996463871268372
172,6526710,"K00856.01",39.74893077,172.85464399999998,0.881,7.3051,15179.0,14.21,552,21.87,561.1,6122,4.487,0.964,"FALSE POSITIVE",0.1699617187515866,0.8300382812484134
184,6862328,"K00865.01",119.0207044,222.236492,0.076,8.140500000000001,7430.5,8.98,366,4.25,223.5,5453,4.3420000000000005,1.062,"CONFIRMED",0.916215917122479,0.08378408287752102
196,11869052,"K00120.01",20.5452375,137.91394,0.9500000000000001,2.5170000000000003,218.5,2.41,742,71.57000000000001,18.5,5670,4.206,1.264,"CONFIRMED",0.9357663775060249,0.06423362249397513
202,7135852,"K00875.01",4.220965778,170.622433,0.7050000000000001,3.0854000000000004,2260.0,2.62,595,29.68,157.8,3837,4.747,0.517,"CONFIRMED",0.913525124703035,0.08647487529696493
