rowid,kepid,kepoi_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
38,11138155,K00760.01,4.959319244,172.2585292,0.831,2.22739,9802,12.21,1103,349.4,696.5,5712,4.359,1.082
59,11818800,K00777.01,40.4195037,173.56469,0.911,3.362,6256,7.51,467,11.29,36.9,5446,4.507,0.781
63,11918099,K00780.02,7.2406612,137.75545,1.198,0.558,556.4,19.45,734,68.63,13.7,5005,4.595,0.765
64,9579641,K00115.03,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272,617.61,8.7,5779,4.339,1.087
73,3246984,K00799.01,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547,1355.88,103.6,5735,4.41,0.973
85,3115833,K00797.01,10.181584004,177.141891,0.92,3.5089,5741.1,7.73,812,102.91,183.6,5988,4.541,0.836
93,3453214,K00802.01,19.620346923,181.881819,0.458,2.0038,21725,13.6,643,40.39,340.5,5710,4.492,0.905
95,3641726,K00804.01,9.02930689,177.20422,0.024,3.1449,1019.8,2.57,757,77.75,53.9,5349,4.526,0.82
104,3940418,K00810.01,4.783002698,170.508434,0.003,2.335,1008.7,2.5,886,145.48,70.6,5170,4.574,0.807
113,4544670,K00815.01,34.84398644,172.633252,0.934,2.9315,4523.6,7.61,511,16.1,76.8,5509,4.482,0.871
123,5115978,K00823.01,1.028436523,170.228582,1.5734,1.8606,8098,72.77,1947,3400.48,89.6,6228,4.428,0.99
154,5792202,K00841.03,6.54626149,133.85964,0.644,2.75,655.9,2.19,810,101.78,24.8,5251,4.581,0.817
166,6867155,K00868.01,235.9986399,208.399822,0.778,8.2284,20715,10.59,188,0.29,271.8,4245,4.627,0.657
172,6526710,K00856.01,39.74893077,172.854644,0.881,7.3051,15179,14.21,552,21.87,561.1,6122,4.487,0.964
184,6862328,K00865.01,119.0207044,222.236492,0.076,8.1405,7430.5,8.98,366,4.25,223.5,5453,4.342,1.062
196,11869052,K00120.01,20.5452375,137.91394,0.95,2.517,218.5,2.41,742,71.57,18.5,5670,4.206,1.264
202,7135852,K00875.01,4.220965778,170.622433,0.705,3.0854,2260,2.62,595,29.68,157.8,3837,4.747,0.517
211,7678434,K00892.02,3.96996298,137.75447,0.836,1.1757,299.2,1.78,992,229.37,15,5121,4.457,0.888
216,7380537,K00883.01,2.688899233,170.1020904,0.001,2.11275,37492,12.04,929,175.76,1011.6,4820,4.667,0.639
230,8013419,K00901.01,12.732624065,176.939054,0.811,2.2083,6465.7,4.87,432,8.22,210.5,3950,4.721,0.541
231,8018547,K00902.01,83.92494032,236.76334,0.658,6.7904,7958.7,4.78,226,0.62,182.1,3960,4.746,0.509
247,7938496,K00900.01,13.81020318,172.33533,0.791,3.048,1309.7,4.56,833,113.75,46.2,5942,4.327,1.142
253,8552202,K00914.01,3.886655224,169.73814,0.649,3.1646,581.6,1.87,1010,246.29,48.1,5662,4.61,0.738
269,9140402,K00928.01,2.494170338,170.852848,0.095,1.1221,863.7,2.42,1194,480.19,69.2,5569,4.566,0.829
