rowid,kepid,is_exoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1,10797460,1,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793,93.59,35.8,1,q1_q17_dr25_tce,5455,4.467,0.927,291.93423,48.141651,15.347
2,10797460,1,54.4183827,162.51384,0.586,4.507,874.8,2.83,443,9.11,25.8,2,q1_q17_dr25_tce,5455,4.467,0.927,291.93423,48.141651,15.347
3,10811496,0,19.89913995,175.850252,0.969,1.7822,10829,14.6,638,39.3,76.3,1,q1_q17_dr25_tce,5853,4.544,0.868,297.00482,48.134129,15.436
4,10848459,0,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395,891.96,505.6,1,q1_q17_dr25_tce,5805,4.564,0.791,285.53461,48.28521,15.597
5,10854555,1,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406,926.16,40.9,1,q1_q17_dr25_tce,6031,4.438,1.046,288.75488,48.2262,15.509
6,10872983,1,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835,114.81,66.5,1,q1_q17_dr25_tce,6046,4.486,0.972,296.28613,48.22467,15.714
7,10872983,1,4.13443512,172.97937,0.762,3.1402,686,2.77,1160,427.65,40.2,2,q1_q17_dr25_tce,6046,4.486,0.972,296.28613,48.22467,15.714
8,10872983,1,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360,807.74,15,3,q1_q17_dr25_tce,6046,4.486,0.972,296.28613,48.22467,15.714
9,6721123,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342,767.22,47.7,1,q1_q17_dr25_tce,6227,3.986,1.958,298.86435,42.151569,12.66
10,10910878,1,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600,30.75,161.9,1,q1_q17_dr25_tce,5031,4.485,0.848,286.99948,48.37579,15.841
11,11446443,1,2.470613377,122.763305,0.818,1.74319,14231,13.04,1339,761.46,4304.3,1,q1_q17_dr25_tce,5820,4.457,0.964,286.80847,49.316399,11.338
12,10666592,1,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048,4148.92,5945.9,1,q1_q17_dr25_tce,6440,4.019,1.952,292.24728,47.969521,10.463
13,6922244,1,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521,1264.67,1741.5,1,q1_q17_dr25_tce,6225,4.169,1.451,281.28812,42.45108,13.563
14,10984090,1,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206,500.46,50.6,2,q1_q17_dr25_tce,5833,4.407,1.022,295.64871,48.49556,12.772
15,10419211,0,11.521446064,170.839688,2.483,3.6399,17984,150.51,753,75.88,622.1,1,q1_q17_dr25_tce,5795,4.554,0.848,297.07993,47.597401,15.472
