kepid,kepoi_name,P (Exoplanet) – Logistic Regression,P (Exoplanet) – Random Forest,P (Exoplanet) – Gradient Boosting Machine
11138155,K00760.01,0.3699844633,0.4961606374,0.5592675644
11818800,K00777.01,0.5370637578,0.3998140399,0.0797821332
11918099,K00780.02,0.5105161484,0.081111605,0.0069382399
9579641,K00115.03,0.4166674268,0.2671563612,0.0011334225
3246984,K00799.01,0.1206006638,0.0632287115,0.0004461132
3115833,K00797.01,0.4112773681,0.2931345637,0.0161108646
3453214,K00802.01,0.3935674234,0.3404503796,0.7407984893
3641726,K00804.01,0.823033306,0.979300183,0.9957679891
3940418,K00810.01,0.7809370844,0.95152619,0.9982815081
4544670,K00815.01,0.5719057708,0.380716999,0.2058910754
5115978,K00823.01,0.0158897361,0.0187894124,0.00002184
5792202,K00841.03,0.6059780003,0.9439085537,0.9748174203
6867155,K00868.01,0.0310276696,0.3361524476,0.5874397621
6526710,K00856.01,0.2860372195,0.1604058387,0.0033732405
6862328,K00865.01,0.5761495006,0.8444410065,0.9978899964
11869052,K00120.01,0.6477758288,0.9487342891,0.9990291792
7135852,K00875.01,0.698273703,0.9463436415,0.9916600323
7678434,K00892.02,0.5361804342,0.7804747531,0.9985931716
7380537,K00883.01,0.1983727328,0.291,0.4149734919
8013419,K00901.01,0.6854640994,0.6354644763,0.898688983
8018547,K00902.01,0.4908235143,0.6531770397,0.9930798281
7938496,K00900.01,0.5919725063,0.8587268236,0.9302135852
8552202,K00914.01,0.4752552419,0.8513862708,0.8551828912
9140402,K00928.01,0.607773476,0.7224059421,0.8798697946
8951215,K00924.01,0.5521243833,0.5990621284,0.4958487729
9347899,K00935.04,0.6838318651,0.9698803247,0.9991795904
9904059,K00145.01,0.0641252384,0.194,0.001871279
2860866,K01103.01,0.3574556737,0.5212706349,0.6141452483
10460629,K01168.01,1.07284520586282E-05,0.3378518395,0.1964028312
10319385,K01169.01,0.1762289006,0.3854044304,0.8293639355
10482160,K01170.01,0.7459483324,0.7671611119,0.1919671193
11180361,K00971.01,1.49506358637641E-06,0.0167596899,0.0001123712
10287723,K01174.01,0,0.5355541818,0.2051423213
11013201,K00972.01,0.3081225166,0.4010051283,0.9848189571
9414417,K00974.01,0.6204453555,0.8400258039,0.9988494196
6131236,K01051.01,0.5115990504,0.7522978152,0.9514743903
2307199,K00151.01,0.4782319463,0.3802483257,0.0763364041
11192141,K00977.01,6.72807649926277E-07,0.0278065528,0.000018329
3109930,K01112.01,0.7520031603,0.8789124164,0.9939375405
1161345,K00984.01,0.677012886,0.7088771712,0.5105210253
2853446,K01118.01,0.4441129757,0.3237247793,0.2482738213
3942446,K01193.01,0.351514628,0.337453428,0.0375136515
6124941,K01058.01,0.5590933645,0.1560920148,0.0619503391
4061149,K01201.01,0.8472953732,0.9049183501,0.9961897334
10743597,K00989.03,0.198429204,0.012,0.0008347309
8218274,K01064.01,0.0057345211,0.006,2.61568785009381E-06
3859628,K01191.01,0.5351332147,0.7970743539,0.8949040908
3644071,K01192.01,8.69258665048278E-10,0.1508232558,1.12691061431303E-05
1431122,K00994.01,0.4439731417,0.7441151947,0.9649649177
8260218,K01066.01,0.6212906001,0.6786690754,0.7918478027
6359320,K01127.03,0.5231664861,0.5365113317,0.1903261426
3447722,K01198.04,0.0568591688,0.0008021311,0.0001519737
